,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-08-01,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-02,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-03,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-04,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-05,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-06,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-07,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-08,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-09,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-10,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-11,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-12,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-13,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-14,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-15,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-16,,,,,,,,,,,,,,,6,,,5,,4,9,2,,,,,,1,,,,1,,,,,,,1,,19,2,,,,,11,,1,,2,1,,,,,,,,,,,,2,,,,,,,,6,,,1,,,,3,,,,,1,,,,,,,,,,,,,,,13,1
2023-08-17,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-18,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-19,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-20,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-21,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-22,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-23,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-24,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-25,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-26,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-27,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-28,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-29,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-08-30,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
